04/27/2026-16:45:44.261229  [**] [1:2029206:5] ET EXPLOIT Possible Citrix Application Delivery Controller Arbitrary Code Execution Attempt (CVE-2019-19781) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36024 -> 172.16.10.3:80
04/27/2026-16:45:44.261229  [**] [1:2035109:2] ET EXPLOIT Possible Citrix Application Delivery Controller Arbitrary Code Execution Attempt (CVE-2019-19781) M4 [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36024 -> 172.16.10.3:80
04/27/2026-16:45:44.261229  [**] [1:2035110:2] ET EXPLOIT Citrix Application Delivery Controller Arbitrary Code Execution Attempt Scanner Attempt (CVE-2019-19781) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36024 -> 172.16.10.3:80
04/27/2026-16:45:44.303591  [**] [1:2030469:7] ET EXPLOIT F5 TMUI RCE vulnerability CVE-2020-5902 Attempt M1 [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36024 -> 172.16.10.3:80
04/27/2026-16:45:44.399855  [**] [1:2030483:4] ET EXPLOIT F5 TMUI RCE vulnerability CVE-2020-5902 Attempt M2 [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36024 -> 172.16.10.3:80
04/27/2026-16:45:44.423483  [**] [1:2221015:1] SURICATA HTTP Host header ambiguous [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:36024 -> 172.16.10.3:80
04/27/2026-16:45:44.459956  [**] [1:2030585:1] ET EXPLOIT Cisco ASA/Firepower Unauthenticated File Read  (CVE-2020-3452) M3 [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36040 -> 172.16.10.3:80
04/27/2026-16:45:44.459956  [**] [1:2034262:1] ET EXPLOIT Cisco ASA and Firepower Path Traversal Vulnerability M1 (CVE-2020-3452) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36040 -> 172.16.10.3:80
04/27/2026-16:52:15.208400  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:45746
04/27/2026-16:52:16.482269  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:58284
